Date,Price,Open,High,Low,Vol.,Change %
10/28/2025,151.39,150.22,152.21,149.68,2.61M,1.51%
10/27/2025,149.14,147.53,149.36,147.26,2.46M,3.58%
10/24/2025,143.98,143.52,144.64,143.13,3.51M,2.04%
10/23/2025,141.1,138.47,141.44,138.31,2.58M,1.72%
10/22/2025,138.72,141.23,141.5,136.12,3.89M,-1.99%
10/21/2025,141.53,141.64,142.14,140.58,2.35M,-0.06%
10/20/2025,141.61,139.65,142.18,139.58,2.41M,2.50%
10/17/2025,138.16,135.43,138.87,134.73,3.88M,1.28%
10/16/2025,136.42,138.75,140.2,134.39,4.42M,-0.74%
10/15/2025,137.44,138.28,139.49,134.61,3.30M,1.36%
10/14/2025,135.6,134.34,137.7,131.95,4.18M,-1.33%
10/13/2025,137.43,136.37,137.84,135.31,3.74M,4.26%
10/10/2025,131.81,142.01,142.82,131.64,4.95M,-7.01%
10/9/2025,141.75,142.15,142.17,140.27,1.14M,-0.26%
10/8/2025,142.12,139.35,142.27,139.32,1.27M,2.27%
10/7/2025,138.96,141.06,141.35,138.28,1.64M,-1.07%
10/6/2025,140.47,140.8,141.23,139.67,1.87M,1.51%
10/3/2025,138.38,139.94,140.31,137.58,1.97M,-0.90%
10/2/2025,139.64,140.25,140.26,138.35,1.98M,0.81%
10/1/2025,138.52,135.74,138.77,135.39,2.11M,0.96%
9/30/2025,137.2,136.34,137.38,135.28,1.73M,0.50%
9/29/2025,136.52,136.69,138,135.94,2.14M,0.89%
9/26/2025,135.31,134.54,135.42,133.06,1.56M,0.80%
9/25/2025,134.23,133.63,134.95,131.95,2.52M,-0.90%
9/24/2025,135.45,137,137.13,134.17,2.66M,-0.73%
9/23/2025,136.44,138.33,138.42,135.89,2.26M,-1.35%
9/22/2025,138.31,136.26,138.59,136.24,2.53M,1.16%
9/19/2025,136.72,135.77,137.01,135.12,2.10M,1.30%
9/18/2025,134.96,134.74,136.18,133.87,2.17M,1.85%
9/17/2025,132.51,133.07,133.33,130.02,3.88M,-0.43%
9/16/2025,133.08,133.75,133.87,132.8,2.33M,-0.22%
9/15/2025,133.38,131.91,133.39,131.86,2.96M,1.70%
9/12/2025,131.15,130.42,131.67,130,3.23M,0.86%
9/11/2025,130.03,129.67,130.42,128.97,3.82M,1.14%
9/10/2025,128.57,129.91,129.92,127.63,3.66M,0.06%
9/9/2025,128.49,128.12,128.7,126.98,3.08M,0.54%
9/8/2025,127.8,127.58,128.66,127.33,3.01M,0.98%
9/5/2025,126.56,128.52,128.8,124.59,3.93M,0.22%
9/4/2025,126.28,124.32,126.42,123.59,3.29M,1.82%
9/3/2025,124.02,123.69,124.76,122.62,4.54M,1.52%
9/2/2025,122.16,120.29,122.28,119.47,5.45M,-1.66%
8/29/2025,124.22,126.15,126.28,123.44,3.75M,-2.40%
8/28/2025,127.27,125.98,127.67,125.26,5.36M,1.22%
8/27/2025,125.74,124.91,126.13,124.36,3.66M,0.28%
8/26/2025,125.39,124.15,125.5,123.72,2.42M,0.80%
8/25/2025,124.39,124.42,125.68,123.89,2.32M,-0.60%
8/22/2025,125.14,121.99,126.01,121.38,5.14M,3.04%
8/21/2025,121.45,121.87,122.81,120.44,2.30M,-0.91%
8/20/2025,122.57,123.64,123.66,119.52,4.27M,-1.22%
8/19/2025,124.08,127.23,127.26,123.63,3.10M,-2.74%
8/18/2025,127.58,127.26,127.85,126.76,1.96M,-0.06%
8/15/2025,127.66,128.81,128.81,126.93,2.80M,-0.94%
8/14/2025,128.87,128.17,129.77,128.02,2.87M,-0.18%
8/13/2025,129.1,130.19,130.42,128.49,2.71M,0.08%
8/12/2025,129,126.84,129.14,125.7,3.62M,2.54%
8/11/2025,125.8,126.66,127.6,125.28,3.17M,-0.65%
8/8/2025,126.62,124.82,126.72,124.7,2.61M,1.81%
8/7/2025,124.37,125.42,126.14,122.58,3.05M,0.67%
8/6/2025,123.54,120.87,123.74,120.69,2.89M,2.51%
8/5/2025,120.51,122.75,123.26,120.3,2.19M,-1.38%
8/4/2025,122.2,120.07,122.29,120.03,3.09M,3.67%
8/1/2025,117.87,120.05,120.12,116.8,4.74M,-3.99%
7/31/2025,122.77,126.93,126.98,122.29,4.09M,-1.11%
7/30/2025,124.15,124.18,125.23,122.86,2.66M,0.23%
7/29/2025,123.86,125.34,125.93,123.49,2.59M,-0.30%
7/28/2025,124.23,124.02,124.6,123.69,2.27M,0.63%
7/25/2025,123.45,122.85,124.03,122.57,2.18M,0.40%
7/24/2025,122.96,122.99,123.46,122.18,2.57M,0.44%
7/23/2025,122.42,121.78,122.42,120.59,3.81M,0.90%
7/22/2025,121.33,122.65,122.68,120.17,3.60M,-1.05%
7/21/2025,122.62,121.74,123.44,121.71,2.40M,1.03%
7/18/2025,121.37,122.2,122.28,120.83,3.27M,-0.25%
7/17/2025,121.68,120.05,121.89,119.7,2.51M,1.60%
7/16/2025,119.76,119.73,120.02,117.29,2.95M,0.22%
7/15/2025,119.5,121.06,121.23,119.49,2.52M,0.16%
7/14/2025,119.31,118.38,119.64,117.37,1.62M,0.68%
7/11/2025,118.5,118.09,119.15,117.56,1.90M,-0.48%
7/10/2025,119.07,119.68,119.86,117.92,1.78M,-0.32%
7/9/2025,119.45,118.67,120.03,118.12,2.02M,1.41%
7/8/2025,117.79,118.24,118.5,117.3,1.70M,0.08%
7/7/2025,117.7,118.31,118.68,116.65,3.18M,-1.50%
7/3/2025,119.49,118.25,119.93,118.21,2.16M,1.88%
7/2/2025,117.29,115.31,117.37,115.3,2.52M,1.41%
7/1/2025,115.66,116.85,117.27,114.7,3.50M,-1.74%
6/30/2025,117.71,117.51,118.18,116.59,3.35M,1.27%
6/27/2025,116.23,115.87,117.01,114.7,3.08M,0.66%
6/26/2025,115.47,114.27,115.65,113.5,2.79M,1.89%
6/25/2025,113.33,113.73,114.24,112.62,2.65M,0.37%
6/24/2025,112.91,111.73,113.3,111.49,2.77M,3.03%
6/23/2025,109.59,107.6,109.78,106.32,3.28M,2.09%
6/20/2025,107.35,109.62,110.16,106.61,2.66M,-0.90%
6/18/2025,108.32,108.78,109.78,107.69,2.48M,-0.05%
6/17/2025,108.37,109.49,110.17,107.95,2.23M,-1.99%
