Date,Price,Open,High,Low,Vol.,Change %,MA200
28/10/2025,687.00,687.05,688.9,684.85,55.68M,0.26%,N/A
27/10/2025,685.24,682.73,685.54,682.11,63.34M,1.18%,N/A
24/10/2025,677.25,676.46,678.47,675.65,74.36M,0.82%,N/A
23/10/2025,671.76,668.12,672.71,667.8,65.60M,0.59%,N/A
22/10/2025,667.80,672,672,663.3,80.56M,-0.52%,N/A
21/10/2025,671.29,671.44,672.99,669.98,56.25M,0.00%,N/A
20/10/2025,671.30,667.32,672.21,667.27,60.49M,1.04%,N/A
17/10/2025,664.39,659.5,665.76,658.14,96.50M,0.57%,N/A
16/10/2025,660.64,666.82,668.71,657.11,110.56M,-0.68%,N/A
15/10/2025,665.17,666.82,670.23,658.93,81.70M,0.44%,N/A
14/10/2025,662.23,657.17,665.83,653.17,88.78M,-0.12%,N/A
13/10/2025,663.04,660.65,665.13,659.77,79.56M,1.53%,N/A
10/10/2025,653.02,672.13,673.95,652.84,159.42M,-2.70%,N/A
9/10/2025,671.16,673.53,673.94,669.21,66.50M,-0.29%,N/A
8/10/2025,673.11,670.25,673.21,669.42,60.70M,0.60%,N/A
7/10/2025,669.12,672.54,672.99,667.67,72.02M,-0.37%,N/A
6/10/2025,671.61,671.62,672.51,669.46,54.62M,0.36%,N/A
3/10/2025,669.21,669.99,672.67,668.16,70.49M,0.00%,N/A
2/10/2025,669.22,670.45,670.57,666.78,56.90M,0.12%,N/A
1/10/2025,668.45,663.17,669.37,663.06,72.55M,0.34%,N/A
30/09/2025,666.18,662.93,666.65,661.61,86.29M,0.38%,N/A
29/09/2025,663.68,664.36,665.28,661.86,73.50M,0.28%,N/A
26/09/2025,661.82,659.51,662.37,657.88,69.18M,0.57%,N/A
25/09/2025,658.05,657.94,659.41,654.41,89.62M,-0.46%,N/A
24/09/2025,661.10,664.51,664.61,659.67,68.08M,-0.32%,N/A
23/09/2025,663.21,666.72,667.34,661.98,81.71M,-0.54%,N/A
22/09/2025,666.84,662.2,667.29,662.17,69.45M,0.47%,N/A
19/09/2025,663.70,662.33,664.55,660.37,97.95M,0.22%,N/A
18/09/2025,662.26,661.89,664.89,660.27,90.46M,0.47%,N/A
17/09/2025,659.18,660.01,661.72,654.3,101.95M,-0.12%,N/A
